times,agents,items,results
0.06877779960632324,3,6,sat
48.982123136520386,6,21,sat
301.48662519454956,8,32,unknown
302.0252311229706,10,29,unknown
0.031244754791259766,2,5,sat
301.7098367214203,9,32,unknown
58.92973804473877,8,17,sat
282.4018738269806,7,25,sat
301.136599779129,9,21,unknown
51.326162338256836,7,20,sat
302.2964868545532,10,36,unknown
0.18408513069152832,3,7,sat
0.6753549575805664,4,11,sat
301.2493679523468,9,25,unknown
301.22598004341125,8,30,unknown
0.6175432205200195,4,11,sat
301.06496953964233,8,27,unknown
24.205915212631226,6,17,sat
144.98597741127014,6,22,sat
145.44046545028687,7,18,sat
301.3287024497986,9,26,unknown
0.3505394458770752,3,10,sat
0.1629347801208496,3,7,sat
2.954514741897583,5,15,sat
0.11846041679382324,2,8,sat
0.39365530014038086,3,10,sat
0.07063150405883789,3,6,sat
300.9851031303406,9,19,unknown
104.27094054222107,7,24,sat
0.02636122703552246,2,4,sat
300.7136206626892,7,24,unknown
290.64805603027344,7,27,sat
0.3852503299713135,4,11,sat
300.81595730781555,7,27,unknown
302.5613338947296,10,37,unknown
0.0898280143737793,2,7,sat
0.022036075592041016,2,4,sat
301.0957052707672,8,28,unknown
0.08620500564575195,3,6,sat
235.26593804359436,8,24,sat
1.484048843383789,4,15,sat
5.311398506164551,6,15,sat
300.77988719940186,7,26,unknown
301.3658564090729,9,21,unknown
301.83579206466675,9,33,unknown
98.82983827590942,6,23,sat
301.79103088378906,10,27,unknown
302.4190094470978,10,36,unknown
146.86862111091614,7,19,sat
300.8898708820343,8,21,unknown
301.8729226589203,9,34,unknown
2.5354394912719727,6,12,sat
301.951194524765,10,27,unknown
302.2222349643707,10,33,unknown
302.69313192367554,10,36,unknown
301.07643485069275,9,18,unknown
302.36023211479187,10,36,unknown
301.1752977371216,9,21,unknown
17.35637068748474,6,20,sat
301.54469633102417,10,22,unknown
0.0518035888671875,2,4,sat
0.05176377296447754,2,5,sat
0.19535279273986816,3,7,sat
301.95187544822693,9,35,unknown
301.0718171596527,9,19,unknown
0.12755298614501953,2,8,sat
0.8500211238861084,4,12,sat
270.66524744033813,8,18,sat
302.3184504508972,10,36,unknown
300.7169313430786,7,23,unknown
5.163347959518433,6,17,sat
288.40232491493225,8,19,sat
0.08282995223999023,2,7,sat
0.023127317428588867,2,4,sat
301.45238065719604,10,21,unknown
255.06303119659424,8,21,sat
3.878387451171875,5,17,sat
301.8792419433594,9,36,unknown
302.4649829864502,10,37,unknown
5.031665802001953,6,15,sat
301.5959861278534,9,29,unknown
301.20055413246155,8,27,unknown
302.22258949279785,10,35,unknown
0.5945055484771729,5,10,sat
67.79673552513123,6,21,sat
10.710810899734497,6,19,sat
0.09077596664428711,2,7,sat
301.5171813964844,8,31,unknown
2.2147936820983887,5,13,sat
0.02826213836669922,2,5,sat
189.51277709007263,8,23,sat
301.6574504375458,9,29,unknown
300.95583415031433,8,22,unknown
301.3328239917755,8,30,unknown
301.7484652996063,10,27,unknown
0.4448862075805664,4,10,sat
150.10739159584045,8,16,sat
62.9690306186676,6,20,sat
220.7478530406952,7,19,sat
1.3677070140838623,4,16,sat
