times,agents,items,results
0.06877779960632324,3,6,sat
48.982123136520386,6,21,sat
0.031244754791259766,2,5,sat
58.92973804473877,8,17,sat
282.4018738269806,7,25,sat
51.326162338256836,7,20,sat
0.18408513069152832,3,7,sat
0.6753549575805664,4,11,sat
0.6175432205200195,4,11,sat
24.205915212631226,6,17,sat
144.98597741127014,6,22,sat
145.44046545028687,7,18,sat
0.3505394458770752,3,10,sat
0.1629347801208496,3,7,sat
2.954514741897583,5,15,sat
0.11846041679382324,2,8,sat
0.39365530014038086,3,10,sat
0.07063150405883789,3,6,sat
104.27094054222107,7,24,sat
0.02636122703552246,2,4,sat
290.64805603027344,7,27,sat
0.3852503299713135,4,11,sat
0.0898280143737793,2,7,sat
0.022036075592041016,2,4,sat
0.08620500564575195,3,6,sat
235.26593804359436,8,24,sat
1.484048843383789,4,15,sat
5.311398506164551,6,15,sat
98.82983827590942,6,23,sat
146.86862111091614,7,19,sat
2.5354394912719727,6,12,sat
17.35637068748474,6,20,sat
0.0518035888671875,2,4,sat
0.05176377296447754,2,5,sat
0.19535279273986816,3,7,sat
0.12755298614501953,2,8,sat
0.8500211238861084,4,12,sat
270.66524744033813,8,18,sat
5.163347959518433,6,17,sat
288.40232491493225,8,19,sat
0.08282995223999023,2,7,sat
0.023127317428588867,2,4,sat
255.06303119659424,8,21,sat
3.878387451171875,5,17,sat
5.031665802001953,6,15,sat
0.5945055484771729,5,10,sat
67.79673552513123,6,21,sat
10.710810899734497,6,19,sat
0.09077596664428711,2,7,sat
2.2147936820983887,5,13,sat
0.02826213836669922,2,5,sat
189.51277709007263,8,23,sat
0.4448862075805664,4,10,sat
150.10739159584045,8,16,sat
62.9690306186676,6,20,sat
220.7478530406952,7,19,sat
1.3677070140838623,4,16,sat
