times,agents,items,results
0.5267584323883057,3,12,sat
4307.514080762863,7,28,sat
0.8790347576141357,4,12,sat
14.08008623123169,5,20,sat
0.1771838665008545,3,7,sat
2.7566707134246826,5,14,sat
11.488383769989014,6,14,sat
1.25697922706604,4,15,sat
130.4679820537567,7,20,sat
1.116530179977417,4,13,sat
1.0947070121765137,4,15,sat
3.459073543548584,7,14,sat
62.47685408592224,6,20,sat
0.4610469341278076,3,11,sat
0.07539558410644531,2,7,sat
0.6864035129547119,4,11,sat
2.6683499813079834,5,12,sat
1.0554442405700684,4,16,sat
0.12480735778808594,2,8,sat
0.5981512069702148,4,15,sat
20.060678720474243,6,18,sat
21.253637075424194,6,18,sat
0.9787101745605469,4,11,sat
0.13720297813415527,2,8,sat
22.562602281570435,6,16,sat
16.856552124023438,6,17,sat
0.1336345672607422,2,8,sat
7.2176432609558105,5,18,sat
0.38648414611816406,3,12,sat
1.2515976428985596,4,15,sat
14.949366569519043,5,17,sat
0.12878060340881348,2,8,sat
1606.272471666336,7,25,sat
0.4216501712799072,3,11,sat
0.021728992462158203,2,4,sat
172.29020738601685,7,20,sat
2.489879608154297,5,14,sat
0.738692045211792,5,11,sat
2647.680522441864,7,28,sat
0.047853946685791016,2,6,sat
98.94267892837524,6,22,sat
7.73540735244751,6,15,sat
0.02555251121520996,2,5,sat
1.6008045673370361,6,13,sat
0.17995238304138184,3,7,sat
0.032355546951293945,2,6,sat
1.067751407623291,4,14,sat
0.4306201934814453,3,11,sat
0.1422410011291504,2,8,sat
2.9046859741210938,5,14,sat
133.95452404022217,7,20,sat
0.3580904006958008,3,12,sat
501.8190531730652,7,22,sat
226.05420970916748,7,21,sat
0.028087139129638672,2,5,sat
985.4463710784912,7,25,sat
76.67835760116577,6,18,sat
0.023583650588989258,2,4,sat
0.30092310905456543,3,8,sat
0.021451473236083984,2,4,sat
0.5269379615783691,4,10,sat
50.596967935562134,7,15,sat
5.9138569831848145,5,19,sat
1.4020297527313232,4,14,sat
1.2339093685150146,5,13,sat
280.5161364078522,7,22,sat
66.73171901702881,7,24,sat
0.6934609413146973,5,10,sat
2.1337931156158447,6,12,sat
0.03465533256530762,2,6,sat
8.178500890731812,6,14,sat
1.2994725704193115,4,12,sat
157.72715258598328,7,18,sat
3.4007556438446045,6,14,sat
81.30111598968506,7,20,sat
79.87853622436523,7,18,sat
0.3160057067871094,3,9,sat
1.0880248546600342,4,13,sat
0.8601119518280029,5,10,sat
0.3485713005065918,3,11,sat
22.280475616455078,7,16,sat
0.2842376232147217,3,8,sat
0.024186372756958008,2,5,sat
1746.030793428421,7,26,sat
1.2182152271270752,4,15,sat
0.7484009265899658,4,10,sat
0.023247480392456055,2,4,sat
0.17923998832702637,3,7,sat
0.033600568771362305,2,6,sat
8.639325380325317,5,18,sat
0.027088642120361328,2,5,sat
0.0788581371307373,2,7,sat
0.024753332138061523,2,4,sat
0.6528544425964355,4,13,sat
0.8058314323425293,5,12,sat
43.53817629814148,6,20,sat
0.8672645092010498,5,10,sat
0.12770915031433105,2,8,sat
38.83600211143494,7,16,sat
2.8436694145202637,6,12,sat
