times,agents,items,results
0.4722785949707031,2,6,sat
2.040630340576172,3,8,sat
0.5217936038970947,2,7,sat
7.825273275375366,3,10,sat
0.1269686222076416,2,4,unsat
0.25574755668640137,2,5,unsat
0.42711520195007324,2,6,unsat
0.22696781158447266,2,5,unsat
1.012221097946167,2,8,sat
3.0333592891693115,3,8,sat
1.3118014335632324,3,6,unsat
0.6826512813568115,2,7,unsat
1.511394739151001,3,7,sat
1.1516156196594238,2,8,unsat
7.226560831069946,3,10,sat
2.8630244731903076,3,7,unsat
0.1145167350769043,2,4,sat
4.598381280899048,3,9,sat
1.3290421962738037,3,6,unsat
0.557288646697998,2,7,sat
5.156949520111084,3,9,sat
0.5326435565948486,2,6,sat
2.6934304237365723,3,7,unsat
0.2093050479888916,2,5,sat
15.437851190567017,3,11,sat
13.163672685623169,3,10,unsat
0.2298884391784668,2,5,sat
0.4799380302429199,2,6,unsat
0.9170889854431152,2,8,sat
0.7530307769775391,2,7,sat
0.12262439727783203,2,4,sat
0.13399028778076172,2,4,sat
9.034682989120483,3,11,sat
0.11046671867370605,2,4,sat
0.9051094055175781,3,6,sat
0.5805044174194336,2,7,sat
0.9641103744506836,3,6,sat
1.5600378513336182,3,7,sat
13.962916612625122,3,12,sat
2.6402642726898193,3,8,sat
0.8599822521209717,3,6,sat
0.11496281623840332,2,4,sat
0.5720045566558838,2,7,sat
0.22003388404846191,2,5,sat
15.421696662902832,3,12,sat
2.686276435852051,3,8,sat
78.54256391525269,3,12,unsat
7.992689371109009,3,11,sat
0.7037215232849121,2,7,sat
0.1371903419494629,2,4,sat
0.26645636558532715,2,5,unsat
11.345929622650146,3,12,sat
1.1526172161102295,2,8,unsat
0.43321847915649414,2,6,unsat
0.36558032035827637,2,6,sat
1.8930747509002686,3,7,sat
0.11388516426086426,2,4,sat
0.6902709007263184,2,7,unsat
0.3658273220062256,2,6,sat
1.1696052551269531,2,8,unsat
17.823505401611328,3,11,unsat
25.334967851638794,3,11,sat
0.36286330223083496,2,6,sat
0.9395551681518555,2,8,sat
17.330996990203857,3,11,sat
14.52118968963623,3,12,sat
2.767747402191162,3,8,sat
15.467061996459961,3,9,unsat
0.9206840991973877,2,8,sat
0.5758843421936035,2,7,sat
13.808571338653564,3,12,sat
0.216383695602417,2,5,sat
3.0398499965667725,3,7,unsat
0.9117684364318848,3,6,sat
0.560204267501831,2,7,sat
117.17676305770874,3,12,sat
1.8573706150054932,3,7,sat
123.9731125831604,3,12,sat
0.11548113822937012,2,4,sat
0.34693121910095215,2,6,sat
0.5802962779998779,2,7,sat
28.035131454467773,3,12,sat
2.399336576461792,3,7,unsat
100.59510779380798,3,12,unsat
0.7397909164428711,2,7,sat
1.174515724182129,2,8,unsat
0.1282205581665039,2,4,sat
0.8397798538208008,2,7,unsat
0.1281280517578125,2,4,sat
0.1402592658996582,2,4,unsat
2.2752771377563477,3,8,sat
1.0139310359954834,3,6,sat
16.61219024658203,3,11,sat
0.3606410026550293,2,6,sat
8.649702310562134,3,11,sat
0.46157073974609375,2,6,unsat
0.22133207321166992,2,5,sat
7.492779493331909,3,10,sat
11.859941005706787,3,9,unsat
0.4701502323150635,2,6,unsat
