times,agents,items
5.284976959228516,8,28
0.035657644271850586,3,6
4.5681116580963135,9,31
0.27670907974243164,5,13
0.03881239891052246,3,7
0.04560446739196777,3,9
332.4169328212738,9,33
9.544456958770752,9,25
0.373471736907959,6,18
1.3045306205749512,6,23
0.07979965209960938,4,8
0.9730069637298584,8,18
0.856438159942627,7,16
0.02069854736328125,2,7
0.14322257041931152,4,14
183.1980972290039,10,27
0.026485443115234375,2,6
0.0527338981628418,3,11
2.104039192199707,7,16
0.2614576816558838,5,14
0.776557445526123,7,18
18.5112042427063,10,40
0.16214585304260254,4,14
0.019066572189331055,2,5
4.8015358448028564,7,26
3.046373128890991,9,23
160.84817719459534,9,32
0.7432503700256348,6,18
0.3142249584197998,6,12
1.0234317779541016,7,16
3.5434000492095947,7,25
0.5102932453155518,6,17
158.66555285453796,10,36
0.2003018856048584,5,13
0.6490788459777832,6,24
2.959641456604004,7,19
1.4118585586547852,7,20
3.0832598209381104,9,23
2.5759284496307373,8,18
0.843017578125,7,21
0.05124497413635254,3,10
11.307679176330566,8,31
30.38371992111206,10,31
0.05221366882324219,3,7
0.07046914100646973,4,8
1560.0673997402191,10,37
2.5001590251922607,8,31
0.29170799255371094,6,14
0.15480351448059082,4,15
5.148115396499634,9,20
10.39375376701355,9,29
1512.2204337120056,10,34
0.5771481990814209,5,16
10.75435733795166,8,24
1.4384698867797852,6,17
27.806348085403442,9,24
0.03025197982788086,2,8
43.45729446411133,10,37
1.5980911254882812,8,18
0.1068258285522461,4,10
0.026355504989624023,2,8
5.411823511123657,8,32
533.9303436279297,10,28
2950.3183958530426,10,38
6.020843744277954,8,22
0.04218101501464844,3,6
3067.486795902252,10,37
9.575657367706299,7,25
0.08185482025146484,3,11
12.61761736869812,9,30
1.392397403717041,7,25
0.02374863624572754,2,6
0.02005314826965332,2,4
1.4871530532836914,8,17
5.656101942062378,9,20
0.2734956741333008,6,13
0.5569970607757568,5,17
2.2590949535369873,7,23
0.1579892635345459,4,16
0.6547338962554932,4,15
0.23045921325683594,5,11
0.3382279872894287,5,19
0.43125176429748535,6,17
0.3264772891998291,4,16
0.1663985252380371,5,11
5.594763278961182,10,23
0.032434701919555664,2,8
13.612343788146973,9,27
3035.903601169586,10,35
1.8033461570739746,8,24
4.147165298461914,8,24
0.7198574542999268,7,18
5.321066379547119,9,30
0.024914264678955078,2,4
0.2530968189239502,6,13
0.7463445663452148,6,19
0.30061912536621094,6,14
0.6627006530761719,7,18
0.02853846549987793,2,7
1.0043816566467285,6,15
