times,agents,items
1.1482391357421875,5,20
0.043427467346191406,2,8
0.519275426864624,4,16
0.5870239734649658,4,16
0.04503893852233887,2,8
0.1701059341430664,3,12
0.3669395446777344,4,16
0.11678886413574219,3,12
0.042417049407958984,2,8
1.5158016681671143,5,20
1.142164707183838,5,20
0.045009613037109375,2,8
0.7196063995361328,4,16
0.04559683799743652,2,8
0.04420828819274902,2,8
0.14284324645996094,3,12
0.16021013259887695,3,12
0.045687198638916016,2,8
1.162703514099121,5,20
1.0800449848175049,5,20
0.046417951583862305,2,8
0.34891629219055176,4,16
1.6738502979278564,5,20
0.04457259178161621,2,8
0.1359882354736328,3,12
0.0429384708404541,2,8
1.436821699142456,5,20
0.04561161994934082,2,8
0.04218649864196777,2,8
0.14148688316345215,3,12
